,code_id,period_id,timestamp,end_timestamp,code,00. Start Phase,02. Situation Type,Half,03. Outcomes,04. Rating,01. Phase,<flag>New Flag
287,288,1,5276.731127086252,5287.065017960918,O2 Build Up,O2 Build Up,O1 to O2,2nd Half,Stay In Phase,Neutral,,
288,289,1,5295.596998044919,5334.229477836585,O2 Build Up,O2 Build Up,O2 Free Kick,2nd Half,Progress to Next Phase,Successful,,
289,290,1,5315.131730711252,5337.565351544585,O3 Break Through,O3 Break Through,1v1 Wide / Halfspace,2nd Half,Ball Loss --> D3 Press,Unsuccessful,Established Play,
290,291,1,5336.624744544584,5352.563734503254,O2 Build Up,O2 Build Up,O2 Throw-In,2nd Half,Ball Loss --> D3 Press,Unsuccessful,,
291,292,1,5357.131039585919,5382.830573503252,D3 High Pressing,,D3 Press on Throw-In,2nd Half,Stay In Phase,Neutral,,
292,293,1,5373.898268210918,5388.797796711251,D2 Finding Balance,,D3 High Press on Opp. Half,2nd Half,Establishing Pressing,Neutral,,
293,294,1,5386.862956419587,5402.563930627586,D3 Middle / Lower Pressing,,D3 From High to Med/Low,2nd Half,Stay In Phase,Neutral,,
294,295,1,5400.797374711585,5423.330831960918,D3 Middle / Lower Pressing,,After Ball Loss,2nd Half,Stay In Phase,Neutral,,
295,296,1,5424.131340836253,5449.295797836251,D3 Middle / Lower Pressing,,D3 Goal Kick or Free Kick,2nd Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
296,297,1,5456.229465919919,5483.89776241992,O1 Play from the Back,O1 Play from the Back,O1 Goal Kick or Free Kick,2nd Half,Ball Loss --> D3 Press,Unsuccessful,,
297,298,1,5481.932060877918,5487.6326535025855,D3 High Pressing,,After Ball Loss,2nd Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
298,299,1,5485.526328085918,5507.6991295025855,O2 Build Up,O2 Build Up,O2 Throw-In,2nd Half,Ball Loss --> D3 Press,Unsuccessful,,
299,300,1,5501.032617044586,5521.729422669252,D2 Finding Balance,,After Ball Loss,2nd Half,D4 Chance,Unsuccessful,,
300,301,1,5506.563550211586,5525.6990564612515,D4 Defending the Box,,1v1,2nd Half,"Cross, Shot, Set-Piece or Box Entry",Neutral,Transition,
301,302,1,5524.132873419252,5554.297398919583,O1 Play from the Back,O1 Play from the Back,O1 Goal Kick or Free Kick,2nd Half,Progress to Next Phase,Successful,,
302,303,1,5552.431174627918,5557.997103127585,O2 Build Up,O2 Build Up,O1 to O2,2nd Half,Ball Loss --> D3 Press,Unsuccessful,,
303,304,1,5569.596893419584,5595.865349377585,D3 Middle / Lower Pressing,,D3 Goal Kick or Free Kick,2nd Half,Stay In Phase,Neutral,,
304,305,1,5595.698490294251,5625.732867294586,D3 Middle / Lower Pressing,,D3 Press on Throw-In,2nd Half,D4 Chance,Unsuccessful,,
305,306,1,5610.5628997525855,5633.929732169586,D4 Defending the Box,,Cutback,2nd Half,Open Chance,Unsuccessful,Established Play,
306,307,1,5616.098970336585,5639.098970336585,Goal OPP,,,2nd Half,,,,
