Timeline,Start time,Duration,code,Instance number,00. Start Phase,01. Phase,02. Situation Type,03. Outcomes,04. Rating,Half,Opponent,Time Period,Ungrouped,Notes,Flags
26. VFF-FCN (1-0),100.7020422,30.83269621,O1 Play from the Back,1,O1 Play from the Back,,O1 Goal Kick or Free Kick,Stay In Phase,Neutral,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),229.8683617,24.09958354,O1 Play from the Back,2,O1 Play from the Back,,O2 to O1,Progress to Next Phase,Successful,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),360.7692876,20.13392258,O1 Play from the Back,3,O1 Play from the Back,,O1 After Regain,Progress to Next Phase,Successful,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),521.1713936,25.03405229,O1 Play from the Back,4,O1 Play from the Back,,O1 Goal Kick or Free Kick,Ball Loss --> D3 Press,Unsuccessful,1st Half,,0 - 15 min,,O1. erik spil jaxe..,New Flag
26. VFF-FCN (1-0),640.5391448,10.36582075,O1 Play from the Back,5,O1 Play from the Back,,O1 Goal Kick or Free Kick,Progress to Next Phase,Successful,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),893.4072258,4.665763916,O1 Play from the Back,6,O1 Play from the Back,,O1 After Regain,Stay In Phase,Neutral,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),985.407293,5.033945792,O1 Play from the Back,7,O1 Play from the Back,,O1 After Regain,Stay In Phase,Neutral,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1051.542696,22.1643525,O1 Play from the Back,8,O1 Play from the Back,,O1 Throw-In,Ball Loss --> D3 Press,Unsuccessful,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1101.373184,15.93451996,O1 Play from the Back,9,O1 Play from the Back,,O2 to O1,Progress to Next Phase,Successful,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1250.908665,5.755985875,O1 Play from the Back,10,O1 Play from the Back,,O1 After Regain,Stay In Phase,Neutral,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1414.576746,24.03588171,O1 Play from the Back,11,O1 Play from the Back,,O1 After Regain,Stay In Phase,Neutral,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1663.946108,43.50174137,O1 Play from the Back,12,O1 Play from the Back,,O1 After Regain,Stay In Phase,Neutral,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1914.949267,36.66437429,O1 Play from the Back,13,O1 Play from the Back,,O1 Goal Kick or Free Kick,Progress to O3-O4,Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2034.949742,21.73225054,O1 Play from the Back,14,O1 Play from the Back,,O1 Goal Kick or Free Kick,Progress to Next Phase,Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2222.984403,27.66508454,O1 Play from the Back,15,O1 Play from the Back,,O1 After Regain,Progress to Next Phase,Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2322.218175,15.56761779,O1 Play from the Back,16,O1 Play from the Back,,O1 Throw-In,Stay In Phase,Neutral,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2352.650227,13.76671767,O1 Play from the Back,17,O1 Play from the Back,,O2 to O1,Progress to Next Phase,Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2519.084812,27.06639375,O1 Play from the Back,18,O1 Play from the Back,,O1 Goal Kick or Free Kick,Stay In Phase,Neutral,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2551.918689,8.500505416,O1 Play from the Back,19,O1 Play from the Back,,O2 to O1,Progress to Next Phase,Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2822.6315,6.534584208,O1 Play from the Back,20,O1 Play from the Back,,O1 After Regain,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,46 - 60 min,,,
26. VFF-FCN (1-0),2919.232994,7.834012458,O1 Play from the Back,21,O1 Play from the Back,,O1 After Regain,Stay In Phase,Neutral,2nd Half,,46 - 60 min,,,
26. VFF-FCN (1-0),3449.538719,6.665967667,O1 Play from the Back,22,O1 Play from the Back,,O1 After Regain,Progress to Next Phase,Successful,2nd Half,,46 - 60 min,,,
26. VFF-FCN (1-0),3574.036995,22.60287425,O1 Play from the Back,23,O1 Play from the Back,,O1 Goal Kick or Free Kick,Progress to Next Phase,Successful,2nd Half,,46 - 60 min,,,
26. VFF-FCN (1-0),4285.077298,15.76512233,O1 Play from the Back,24,O1 Play from the Back,,O1 Goal Kick or Free Kick,Stay In Phase,Neutral,2nd Half,,61 - 75 min,,,
26. VFF-FCN (1-0),4478.711132,11.33198658,O1 Play from the Back,25,O1 Play from the Back,,O1 After Regain,Stay In Phase,Neutral,2nd Half,,61 - 75 min,,,
26. VFF-FCN (1-0),5044.948619,7.868691417,O1 Play from the Back,26,O1 Play from the Back,,O1 After Regain,Stay In Phase,Neutral,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),5188.216622,35.66649642,O1 Play from the Back,27,O1 Play from the Back,,O1 After Regain,Progress to Next Phase,Successful,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),5285.71967,17.33285904,O1 Play from the Back,28,O1 Play from the Back,,O1 Throw-In,Progress to Next Phase,Successful,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),5692.454094,6.335115333,O1 Play from the Back,29,O1 Play from the Back,,O1 After Regain,Stay In Phase,Neutral,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),0,27.63092754,O2 Build Up,1,O2 Build Up,,O2 Free Kick,Ball Loss --> D3 Press,Unsuccessful,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),129.3673061,55.83180242,O2 Build Up,2,O2 Build Up,,O1 to O2,Ball Loss --> D3 Press,Unsuccessful,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),217.0024607,14.66472021,O2 Build Up,3,O2 Build Up,,O2 Throw-In,Stay In Phase,Neutral,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),251.9360462,5.632277541,O2 Build Up,4,O2 Build Up,,O1 to O2,Progress to Next Phase,Successful,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),314.1692025,19.79891187,O2 Build Up,5,O2 Build Up,,O2 Free Kick,Ball Loss --> D3 Press,Unsuccessful,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),378.87172,10.0976935,O2 Build Up,6,O2 Build Up,,O1 to O2,Progress to Next Phase,Successful,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),400.5366234,32.59990921,O2 Build Up,7,O2 Build Up,,O3 to O2,Ball Loss --> D3 Press,Unsuccessful,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),444.1702624,8.3999005,O2 Build Up,8,O2 Build Up,,O2 After Regain,Progress to O4,Successful,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),648.740262,27.29668537,O2 Build Up,9,O2 Build Up,,O1 to O2,Ball Loss --> D3 Press,Unsuccessful,1st Half,,0 - 15 min,,"*O2. ellers god, men bis vend dig + beskyt den. ram villa.",New Flag
26. VFF-FCN (1-0),683.0386965,26.46687404,O2 Build Up,10,O2 Build Up,,O2 Throw-In,Ball Loss --> D3 Press,Unsuccessful,1st Half,,0 - 15 min,,O2. E vend dig. god bold adamo.,New Flag
26. VFF-FCN (1-0),802.5041096,29.37081225,O2 Build Up,11,O2 Build Up,,O2 Throw-In,Ball Loss --> D3 Press,Unsuccessful,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),895.8399961,7.367747583,O2 Build Up,12,O2 Build Up,,O1 to O2,Ball Loss --> D3 Press,Unsuccessful,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),988.3422769,32.43134017,O2 Build Up,13,O2 Build Up,,O1 to O2,Ball Loss --> D3 Press,Unsuccessful,1st Half,,16 - 30 min,,*O2… i luften.,New Flag
26. VFF-FCN (1-0),1097.875004,5.666271667,O2 Build Up,14,O2 Build Up,,O2 After Regain,Stay In Phase,Neutral,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1144.242642,24.03201754,O2 Build Up,15,O2 Build Up,,O2 Free Kick,Progress to O4,Successful,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1181.865581,7.511613499,O2 Build Up,16,O2 Build Up,,O3 to O2,Stay In Phase,Neutral,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1191.244264,20.86409771,O2 Build Up,17,O2 Build Up,,O2 Throw-In,Progress to Next Phase,Successful,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1226.744382,13.764617,O2 Build Up,18,O2 Build Up,,O2 Throw-In,Ball Loss --> D3 Press,Unsuccessful,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1254.444655,8.89780925,O2 Build Up,19,O2 Build Up,,O1 to O2,Progress to Next Phase,Successful,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1436.512503,12.46429054,O2 Build Up,20,O2 Build Up,,O1 to O2,Progress to Next Phase,Successful,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1554.176545,30.70277971,O2 Build Up,21,O2 Build Up,,O2 Free Kick,Ball Loss --> D3 Press,Unsuccessful,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1705.846847,54.66454383,O2 Build Up,22,O2 Build Up,,O1 to O2,Ball Loss --> D3 Press,Unsuccessful,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1778.680618,48.50041621,O2 Build Up,23,O2 Build Up,,O2 After Regain,Ball Loss --> D3 Press,Unsuccessful,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),2054.649195,7.030663542,O2 Build Up,24,O2 Build Up,,O1 to O2,Progress to Next Phase,Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2066.615346,16.53280608,O2 Build Up,25,O2 Build Up,,O3 to O2,Ball Loss --> D3 Press,Unsuccessful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2248.551636,8.966771834,O2 Build Up,26,O2 Build Up,,O1 to O2,Progress to Next Phase,Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2336.182942,18.70038429,O2 Build Up,27,O2 Build Up,,O2 Throw-In,Stay In Phase,Neutral,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2364.650701,47.53320004,O2 Build Up,28,O2 Build Up,,O1 to O2,Progress to O4,Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2544.085049,9.934100209,O2 Build Up,29,O2 Build Up,,O1 to O2,Stay In Phase,Neutral,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2558.385192,12.63400163,O2 Build Up,30,O2 Build Up,,O1 to O2,Progress to Next Phase,Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2588.720752,6.700411125,O2 Build Up,31,O2 Build Up,,O2 Throw-In,Progress to Next Phase,Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2606.921006,28.13148542,O2 Build Up,32,O2 Build Up,,O2 After Regain,Progress to Next Phase,Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2700.755336,14.49803767,O2 Build Up,33,O2 Build Up,,O2 Free Kick,Progress to Next Phase,Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2924.898165,4.900344501,O2 Build Up,34,O2 Build Up,,O1 to O2,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,46 - 60 min,,,
26. VFF-FCN (1-0),3019.099617,59.73564604,O2 Build Up,35,O2 Build Up,,O2 Throw-In,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,46 - 60 min,,,
26. VFF-FCN (1-0),3170.567633,24.33421762,O2 Build Up,36,O2 Build Up,,O2 Free Kick,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,46 - 60 min,,,
26. VFF-FCN (1-0),3392.79653,8.208525958,O2 Build Up,37,O2 Build Up,,O2 Free Kick,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,46 - 60 min,,,
26. VFF-FCN (1-0),3454.103529,45.86703333,O2 Build Up,38,O2 Build Up,,O1 to O2,Progress to Next Phase,Successful,2nd Half,,46 - 60 min,,,
26. VFF-FCN (1-0),3508.135876,14.90359258,O2 Build Up,39,O2 Build Up,,O3 to O2,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,46 - 60 min,,,
26. VFF-FCN (1-0),3594.670708,23.8333475,O2 Build Up,40,O2 Build Up,,O1 to O2,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,46 - 60 min,,,
26. VFF-FCN (1-0),3771.273803,13.83388192,O2 Build Up,41,O2 Build Up,,O2 After Regain,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,61 - 75 min,,,
26. VFF-FCN (1-0),3835.575298,22.09778975,O2 Build Up,42,O2 Build Up,,"O2 Free Kick, O2 Throw-In",Stay In Phase,Neutral,2nd Half,,61 - 75 min,,,
26. VFF-FCN (1-0),3855.940794,39.73253087,O2 Build Up,43,O2 Build Up,,O2 Free Kick,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,61 - 75 min,,,
26. VFF-FCN (1-0),3936.007715,20.70157546,O2 Build Up,44,O2 Build Up,,O2 After Regain,Stay In Phase,Neutral,2nd Half,,61 - 75 min,,,
26. VFF-FCN (1-0),3961.008511,19.231652,O2 Build Up,45,O2 Build Up,,O2 Throw-In,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,61 - 75 min,,,
26. VFF-FCN (1-0),4000.408958,16.83333096,O2 Build Up,46,O2 Build Up,,O2 After Regain,Progress to Next Phase,Successful,2nd Half,,61 - 75 min,,,
26. VFF-FCN (1-0),4023.107602,38.06701121,O2 Build Up,47,O2 Build Up,,O2 Throw-In,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,61 - 75 min,,"benji, on goalline… ",New Flag
26. VFF-FCN (1-0),4086.80928,13.13237888,O2 Build Up,48,O2 Build Up,,"O1 to O2, O3 to O2",Ball Loss --> D3 Press,Unsuccessful,2nd Half,,61 - 75 min,,,
26. VFF-FCN (1-0),4100.475387,60.8881179,O2 Build Up,49,O2 Build Up,,O2 After Regain,Progress to Next Phase,Successful,2nd Half,,61 - 75 min,,"**O2-O4, good seq. pushing.",New Flag
26. VFF-FCN (1-0),4299.245456,18.96677387,O2 Build Up,50,O2 Build Up,,O1 to O2,Progress to Next Phase,Successful,2nd Half,,61 - 75 min,,,
26. VFF-FCN (1-0),4322.776717,10.23322754,O2 Build Up,51,O2 Build Up,,O2 Throw-In,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,61 - 75 min,,,
26. VFF-FCN (1-0),4337.809235,23.96621717,O2 Build Up,52,O2 Build Up,,O2 After Regain,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,61 - 75 min,,,
26. VFF-FCN (1-0),4373.908741,15.56914367,O2 Build Up,53,O2 Build Up,,O2 Throw-In,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,61 - 75 min,,,
26. VFF-FCN (1-0),4487.878344,27.86649062,O2 Build Up,54,O2 Build Up,,O1 to O2,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,61 - 75 min,,,
26. VFF-FCN (1-0),4518.977927,21.83379717,O2 Build Up,55,O2 Build Up,,O2 After Regain,Progress to Next Phase,Successful,2nd Half,,61 - 75 min,,,
26. VFF-FCN (1-0),4553.512199,30.13533667,O2 Build Up,56,O2 Build Up,,"O2 After Regain, O3 to O2",Progress to Next Phase,Successful,2nd Half,,61 - 75 min,,,
26. VFF-FCN (1-0),4718.579853,4.600096541,O2 Build Up,57,O2 Build Up,,O2 After Regain,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),4727.379899,29.73397121,O2 Build Up,58,O2 Build Up,,O2 After Regain,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),4846.713965,63.40284413,O2 Build Up,59,O2 Build Up,,O2 After Regain,Stay In Phase,Neutral,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),5050.582631,26.90024421,O2 Build Up,60,O2 Build Up,,O1 to O2,Progress to Next Phase,Successful,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),5105.185004,40.26546588,O2 Build Up,61,O2 Build Up,,O2 After Regain,Progress to Next Phase,Successful,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),5221.61913,22.53347454,O2 Build Up,62,O2 Build Up,,O1 to O2,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),5300.951174,21.46661329,O2 Build Up,63,O2 Build Up,,O2 Free Kick,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),5696.621377,10.932632,O2 Build Up,64,O2 Build Up,,O1 to O2,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),5710.587696,9.199427959,O2 Build Up,65,O2 Build Up,,O2 After Regain,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),5719.222739,15.06676329,O2 Build Up,66,O2 Build Up,,O2 Throw-In,Progress to Next Phase,Successful,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),5744.120844,11.49931396,O2 Build Up,67,O2 Build Up,,O2 After Regain,Progress to Next Phase,Successful,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),5803.453586,4.5016585,O2 Build Up,68,O2 Build Up,,O2 After Regain,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),35.96906246,26.96427271,O3 Break Through,1,O3 Break Through,Throw In,Long Throw,Ball Loss --> D3 Press,Unsuccessful,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),238.7708713,24.55998271,O3 Break Through,2,O3 Break Through,Established Play,Early Through Pass or Cross,"Cross, Shot, Set-Piece or Box Entry",Successful,1st Half,,0 - 15 min,,Villa indlæg..,New Flag
26. VFF-FCN (1-0),369.9383281,32.69719692,O3 Break Through,3,O3 Break Through,Established Play,Central Play Infront of Backline,Keep The Ball,Neutral,1st Half,,0 - 15 min,,*O2. godt kian - jax. dio bliv mellem!,New Flag
26. VFF-FCN (1-0),857.3046657,23.60129537,O3 Break Through,4,O3 Break Through,Transition,D3 Win Ball Low/Middle,Ball Loss --> D3 Press,Unsuccessful,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),1193.073508,32.00202,O3 Break Through,5,O3 Break Through,Established Play,Early Through Pass or Cross,"Cross, Shot, Set-Piece or Box Entry",Successful,1st Half,,16 - 30 min,,"villa, touch..",New Flag
26. VFF-FCN (1-0),1244.310085,31.79893554,O3 Break Through,6,O3 Break Through,Established Play,Early Through Pass or Cross,"Cross, Shot, Set-Piece or Box Entry",Successful,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1260.976202,24.93517671,O3 Break Through,7,O3 Break Through,Established Play,1v1 Wide / Halfspace,"Cross, Shot, Set-Piece or Box Entry",Successful,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1429.879212,36.23125296,O3 Break Through,8,O3 Break Through,Established Play,Early Through Pass or Cross,"Cross, Shot, Set-Piece or Box Entry",Successful,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1816.213327,28.80017842,O3 Break Through,9,O3 Break Through,Transition,D3 High Press on Opp. Half,Lead to O4 chance,Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),1834.546805,30.60024971,O3 Break Through,10,O3 Break Through,Transition,Transition After CP,"Cross, Shot, Set-Piece or Box Entry",Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),1933.012796,23.40096742,O3 Break Through,11,O3 Break Through,Established Play,1v1 Wide / Halfspace,Ball Loss --> D3 Press,Unsuccessful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2042.780941,25.93347904,O3 Break Through,12,O3 Break Through,Established Play,Wide Link Up Play,Keep The Ball,Neutral,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2106.615063,29.73442225,O3 Break Through,13,O3 Break Through,Transition,D3 High Press on Opp. Half,"Cross, Shot, Set-Piece or Box Entry",Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2184.547837,25.53695358,O3 Break Through,14,O3 Break Through,Transition,D3 High Press on Opp. Half,Ball Loss --> D3 Press,Unsuccessful,1st Half,,31 - 45 min,,"villa fin ide, men svært.",New Flag
26. VFF-FCN (1-0),2238.417024,27.63492367,O3 Break Through,15,O3 Break Through,Established Play,1v1 Wide / Halfspace,Keep The Ball,Neutral,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2250.018266,22.9318245,O3 Break Through,16,O3 Break Through,Established Play,Early Through Pass or Cross,"Cross, Shot, Set-Piece or Box Entry",Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2576.318884,23.33314458,O3 Break Through,17,O3 Break Through,Established Play,Wide Link Up Play,"Cross, Shot, Set-Piece or Box Entry",Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2616.020933,25.66356449,O3 Break Through,18,O3 Break Through,Established Play,Wide Link Up Play,"Cross, Shot, Set-Piece or Box Entry",Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2696.321332,31.03081504,O3 Break Through,19,O3 Break Through,Established Play,1v1 Wide / Halfspace,"Cross, Shot, Set-Piece or Box Entry",Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2833.331278,23.20278817,O3 Break Through,20,O3 Break Through,Transition,D3 High Press on Opp. Half,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,46 - 60 min,,,
26. VFF-FCN (1-0),2866.332014,26.36890237,O3 Break Through,21,O3 Break Through,Transition,D3 High Press on Opp. Half,Lead to O4 chance,Successful,2nd Half,,46 - 60 min,,,
26. VFF-FCN (1-0),2957.999348,28.49975188,O3 Break Through,22,O3 Break Through,Transition,After D4 Def. Box,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,46 - 60 min,,,
26. VFF-FCN (1-0),3189.834253,31.10024429,O3 Break Through,23,O3 Break Through,Transition,D3 High Press on Opp. Half,"Cross, Shot, Set-Piece or Box Entry",Successful,2nd Half,,46 - 60 min,,,
26. VFF-FCN (1-0),3480.802572,24.63445158,O3 Break Through,24,O3 Break Through,Established Play,Early Through Pass or Cross,"Cross, Shot, Set-Piece or Box Entry",Successful,2nd Half,,46 - 60 min,,,
26. VFF-FCN (1-0),3740.039406,23.73073854,O3 Break Through,25,O3 Break Through,Transition,After D4 Def. Box,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,61 - 75 min,,,
26. VFF-FCN (1-0),3908.508815,23.59668971,O3 Break Through,26,O3 Break Through,Transition,D3 High Press on Opp. Half,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,61 - 75 min,,gult kort til M Søndergaard. på dio.,New Flag
26. VFF-FCN (1-0),3989.79979,30.20017983,O3 Break Through,27,O3 Break Through,Established Play,Wide Link Up Play,Keep The Ball,Neutral,,,,,,
26. VFF-FCN (1-0),4057.90726,30.99949629,O3 Break Through,28,O3 Break Through,Transition,D3 Win Ball Low/Middle,Keep The Ball,Neutral,2nd Half,,61 - 75 min,,,
26. VFF-FCN (1-0),4128.975274,27.26897917,O3 Break Through,29,O3 Break Through,Established Play,Early Through Pass or Cross,"Cross, Shot, Set-Piece or Box Entry",Successful,2nd Half,,61 - 75 min,,,
26. VFF-FCN (1-0),4231.743186,25.49877242,O3 Break Through,30,O3 Break Through,Throw In,Combination,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,61 - 75 min,,,
26. VFF-FCN (1-0),4298.977064,22.49918025,O3 Break Through,31,O3 Break Through,Established Play,Early Through Pass or Cross,"Cross, Shot, Set-Piece or Box Entry",Successful,2nd Half,,61 - 75 min,,,
26. VFF-FCN (1-0),4521.711911,27.00200387,O3 Break Through,32,O3 Break Through,Established Play,Wide Link Up Play,"Cross, Shot, Set-Piece or Box Entry",Successful,2nd Half,,61 - 75 min,,,
26. VFF-FCN (1-0),4564.347562,23.89941571,O3 Break Through,33,O3 Break Through,Established Play,Central Play Infront of Backline,"Cross, Shot, Set-Piece or Box Entry",Successful,2nd Half,,61 - 75 min,,"*godt sat op. tæt på, gode pos. dani til ernest.",New Flag
26. VFF-FCN (1-0),4626.512723,22.69956733,O3 Break Through,34,O3 Break Through,Transition,D3 Win Ball Low/Middle,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),4752.281686,24.16519212,O3 Break Through,35,O3 Break Through,Transition,D3 High Press on Opp. Half,"Cross, Shot, Set-Piece or Box Entry",Successful,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),4965.448124,33.56526842,O3 Break Through,36,O3 Break Through,Throw In,Long Throw,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),5001.281461,27.16740596,O3 Break Through,37,O3 Break Through,Throw In,Long Throw,"Cross, Shot, Set-Piece or Box Entry",Successful,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),5058.883502,34.16574446,O3 Break Through,38,O3 Break Through,Established Play,Central Play Infront of Backline,"Cross, Shot, Set-Piece or Box Entry",Successful,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),5126.718487,24.22859692,O3 Break Through,39,O3 Break Through,Established Play,Early Through Pass or Cross,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),5311.134748,21.06540012,O3 Break Through,40,O3 Break Through,Established Play,Early Through Pass or Cross,Ball Loss --> D3 Press,Unsuccessful,,,,,"wahid, vind rummet.",New Flag
26. VFF-FCN (1-0),5396.587358,29.63327617,O3 Break Through,41,O3 Break Through,Transition,After D4 Def. Box,"Cross, Shot, Set-Piece or Box Entry",Successful,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),5715.053763,26.59931971,O3 Break Through,42,O3 Break Through,Established Play,Early Through Pass or Cross,"Cross, Shot, Set-Piece or Box Entry",Successful,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),5739.221008,22.83253358,O3 Break Through,43,O3 Break Through,Established Play,Wide Link Up Play,"Cross, Shot, Set-Piece or Box Entry",Successful,2nd Half,,76 - 90 min,,,
26. VFF-FCN (1-0),244.1681276,25.43223788,O4 Finishing,1,O4 Finishing,Established Play,"1v1, Chipball","Cross, Shot, Set-Piece or Box Entry",Neutral,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),433.4055295,22.86453442,O4 Finishing,2,O4 Finishing,Established Play,1v1,"Cross, Shot, Set-Piece or Box Entry",Neutral,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),1150.277127,24.53120071,O4 Finishing,3,O4 Finishing,Established Play,Pass Infront of Backline,"Cross, Shot, Set-Piece or Box Entry",Neutral,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1206.044278,22.73248546,O4 Finishing,4,O4 Finishing,Established Play,Chipball,"Cross, Shot, Set-Piece or Box Entry",Neutral,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1257.040691,22.50141821,O4 Finishing,5,O4 Finishing,Established Play,Pass Infront of Backline,"Cross, Shot, Set-Piece or Box Entry",Neutral,1st Half,,16 - 30 min,,*clip from HT. accelerating. dio why stop?,New Flag
26. VFF-FCN (1-0),1266.676286,24.16565487,O4 Finishing,6,O4 Finishing,Established Play,Chipball,"Cross, Shot, Set-Piece or Box Entry",Neutral,1st Half,,16 - 30 min,,villa god 1v1 + chip,New Flag
